scenario,scenario_label,product,product_label,day,bucket,bucket_pnl,avg_position,avg_abs_position
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,1,7339.0,66.58375125376128,66.58375125376128
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,2,8414.0,68.28128128128128,68.28128128128128
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,3,7544.0,64.6106106106106,64.6106106106106
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,4,7798.0,69.44589178356713,69.44589178356713
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,5,8664.0,71.39178356713427,71.39178356713427
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,6,8199.0,74.75879396984925,74.75879396984925
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,7,7822.0,61.45645645645646,61.45645645645646
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,8,8158.0,68.393,68.393
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,9,8348.0,70.968,70.968
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,1,10,7935.0,64.53353353353353,64.53353353353353
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,1,10675.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,2,10118.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,3,9960.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,4,10906.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,5,11071.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,6,10137.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,7,10564.0,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,8,10622.5,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,9,10151.5,,
front_bias_depth_25,Front-biased depth +25%,TOTAL,TOTAL,-1,10,10763.0,,
