v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,p10_multiplier,p90_multiplier,mean_rank,p10_rank,p90_rank,expected_regret,p90_regret,prob_best_response,label,group
35,146987.59642857412,24131.673441538995,115875.24481114664,129626.56044315881,143377.876075171,164004.8495231892,177756.1651552014,0.4677551020408163,0.05730164526960735,0.3938775510204081,0.5408163265306123,27.475,23.0,32.0,60316.63968541468,86974.42074887789,0.0006,Focal weight = 5%,focal_weight
36,162463.55155211626,23524.306304520844,132696.0505395901,146166.72707707138,159637.40361455266,179843.41842077463,193314.0949582559,0.5150138775510205,0.0570231652350844,0.4428571428571429,0.5897959183673469,24.5804,20.0,29.0,44840.68456187259,69740.86442848048,0.0028,Focal weight = 5%,focal_weight
37,169314.7095751698,22943.466203091266,142079.92026296572,155269.95770591617,168459.99514886664,188245.05131329226,201435.0887562427,0.5429322448979592,0.05679850492251302,0.47551020408163264,0.6224489795918368,22.8704,18.0,27.0,37989.52653881903,61575.13034556553,0.0032,Focal weight = 5%,focal_weight
38,175491.0428315144,22235.54550920343,144447.81262306988,157357.21097148943,176721.30849411883,189630.70684253838,202540.105190958,0.5703575510204081,0.05624263883381025,0.49183673469387756,0.6387755102040817,21.1906,17.0,26.0,31813.1932824744,53289.62529568712,0.0068,Focal weight = 5%,focal_weight
39,180676.54360443907,21344.821848379655,152920.21630519303,165553.38152263698,178186.54674008087,197136.29456624683,209769.45978369072,0.5962318367346938,0.055170162239197525,0.5244897959183673,0.6714285714285715,19.6058,15.0,24.0,26627.692509549754,45484.11591587824,0.0114,Focal weight = 5%,focal_weight
40,186554.64552650513,20443.52006199465,160867.43844605787,173225.96963703563,185584.50082801338,197943.03201899113,210301.56320996888,0.6250122448979591,0.054014793660571235,0.5571428571428572,0.6877551020408164,17.843,14.0,22.0,20749.590587483704,37403.2241588693,0.0258,Focal weight = 5%,focal_weight
41,197887.85804307408,19190.72786375804,174307.34111624619,186391.23828075783,198475.13544526938,210559.03260978093,222642.9297742925,0.6698416326530613,0.05185711226657411,0.6061224489795918,0.736734693877551,15.0972,11.0,19.0,9416.37807091474,22746.597298056848,0.2056,Focal weight = 5%,focal_weight
42,199631.28976988664,18315.24501439831,175114.07856899058,186923.34170703596,198732.6048450814,210541.86798312678,222351.13112117222,0.69024,0.05064234828250805,0.6224489795918368,0.753061224489796,13.8478,10.0,18.0,7672.9463441022035,17422.096053947782,0.1748,Focal weight = 5%,focal_weight
43,200242.62511280036,17473.612548545458,175646.18199526882,187180.81110684804,198715.44021842728,210250.0693300065,221784.69844158576,0.7084048979591836,0.04946556450505154,0.6387755102040817,0.7693877551020408,12.7352,9.0,17.0,7061.611001188481,15636.589457849186,0.1512,Focal weight = 5%,focal_weight
44,199842.28294863025,16475.451223772532,176026.8033430536,187292.9368430189,198559.07034298417,209825.20384294947,221091.33734291472,0.7241273469387756,0.04775142399232153,0.6551020408163265,0.7857142857142857,11.7722,8.0,16.0,7461.953165358618,15524.46372167833,0.1078,Focal weight = 5%,focal_weight
45,198472.079697888,15553.321528039105,176144.15890034492,187142.0511265015,198139.94335265807,209137.83557881467,220135.72780497128,0.7377208163265306,0.04617826303947317,0.6714285714285715,0.8020408163265307,10.9396,7.0,15.0,8832.156416100837,16832.030431846186,0.0612,Focal weight = 5%,focal_weight
46,200407.52096079988,14142.212520102268,181358.09866000144,192087.74961234932,202817.40056469722,208182.22604087117,218911.87699321908,0.7620538775510204,0.04303835542456263,0.7040816326530612,0.8183673469387756,9.4492,6.0,13.0,6896.715153188949,16834.700092231215,0.2226,Focal weight = 5%,focal_weight
47,195706.08297888227,13571.17288555093,180804.85103277102,186035.5558720406,196496.96555057983,206958.37522911903,212189.0800683886,0.7669191836734695,0.042359524455781505,0.7204081632653061,0.8183673469387756,9.1512,6.0,12.0,11598.153135106584,21666.85720129637,0.0158,Focal weight = 5%,focal_weight
48,190944.88837569184,12968.76724169883,174924.6463676626,180022.08877826118,190216.97359945838,200411.85842065557,205509.30083125414,0.7717191836734694,0.04153749239705702,0.7204081632653061,0.8183673469387756,8.8572,6.0,12.0,16359.347738296998,27328.51376423557,0.0048,Focal weight = 5%,focal_weight
49,186123.7273437477,12497.783333221369,169157.34774285075,179090.82526094033,189024.30277902985,193991.04153807467,203924.5190561642,0.7761795918367347,0.041082378613826194,0.7204081632653061,0.8346938775510204,8.584,5.0,12.0,21180.508770241122,32543.417172051617,0.0018,Focal weight = 5%,focal_weight
50,182092.93129274948,11860.633418779347,168226.08422552986,173062.11933302085,182734.18954800276,192406.25976298473,197242.2948704757,0.783549387755102,0.04004168503499177,0.736734693877551,0.8346938775510204,8.1326,5.0,11.0,25211.304821239362,37479.74865010593,0.0004,Focal weight = 5%,focal_weight
51,179746.27793275242,11039.069374733413,167033.4134051014,171738.74486103855,181149.40777291288,185854.73922885003,195265.40214072433,0.7971722448979591,0.03830329611527527,0.753061224489796,0.8510204081632653,7.2982,4.0,10.0,27557.95818123644,40635.29066867288,0.0032,Focal weight = 5%,focal_weight
52,174373.5997727118,10628.09036748497,161004.70747718192,165579.33528156526,174728.59089033198,183877.84649909864,188452.47430348198,0.8007738775510205,0.037930920318410194,0.753061224489796,0.8510204081632653,7.0776,4.0,10.0,32930.63634127703,46371.1736179333,0.0002,Focal weight = 5%,focal_weight
53,169063.51935268118,10147.509167488928,155079.43605145544,163971.76932197926,168417.93595724116,177310.26922776498,181756.43586302688,0.8044114285714286,0.03726212547840877,0.753061224489796,0.8510204081632653,6.8548,4.0,10.0,38240.716761307645,52045.61456381687,0.0,Focal weight = 5%,focal_weight
54,163677.89041072168,9696.346757268562,149220.02359284242,157858.29019849413,162177.42350131998,170815.69010697168,175134.82340979754,0.8077126530612246,0.03665265484070884,0.753061224489796,0.8510204081632653,6.6526,4.0,10.0,43626.345703267165,57869.18824957663,0.0,Focal weight = 5%,focal_weight
